"user_id","gender","profession","used_vr_ar","impact_tech","effectiveness","benefit_vr_ar","challenge_cost","challenge_awareness","challenge_equipment","challenge_realism","future_vr_ar","concerns_accuracy","concerns_cost","concerns_technical","concerns_privacy","timestamp"
"id_14","Female","Real Estate Agent","Yes, but rarely","Both equally","Extremely effective","Saves time for buyers and sellers",0,0,1,0,"It will not have a significant impact",1,0,0,1,2023-03-01 20:27:33.715557
"id_15","Male","Student","No, but I am interested","VR – Full 3D property tours","Not effective at all","Increases confidence in purchasing decisions",0,0,1,1,"It will grow but remain a niche tool",1,1,1,0,2023-01-16 18:57:39.393578
"id_16","Female","Buyer/Renter","No, I have no interest","VR – Full 3D property tours","Somewhat effective","Increases confidence in purchasing decisions",0,0,0,1,"It will not have a significant impact",0,0,0,0,2023-07-05 15:03:13.964125
"id_17","Male","Real Estate Agent","Yes, but rarely","Both equally","Neutral","More immersive than photos/videos",1,0,0,1,"It will become an essential tool for property buying/selling",1,0,0,0,2023-12-05 14:37:55.714101
"id_18","Male","Student","Yes, but rarely","VR – Full 3D property tours","Somewhat effective","Increases confidence in purchasing decisions",0,0,0,1,"It will become an essential tool for property buying/selling",1,1,1,1,2023-12-02 00:50:50.82555
"id_19","Male","Buyer/Renter","Yes, but rarely","VR – Full 3D property tours","Somewhat effective","More immersive than photos/videos",1,1,1,0,"It will not have a significant impact",0,1,0,1,2023-01-30 01:07:46.583254
"id_20","Prefer not to say","Property Developer","No, but I am interested","Both equally","Somewhat effective","More immersive than photos/videos",0,0,1,1,"It will grow but remain a niche tool",0,0,0,1,2023-05-27 21:25:09.189447
"id_21","Female","Real Estate Agent","Yes, but rarely","AR – Interactive overlays on real-world properties","Not effective at all","Increases confidence in purchasing decisions",0,0,1,1,"It will not have a significant impact",0,0,0,0,2023-01-07 19:53:40.800902
"id_22","Female","Real Estate Agent","No, I have no interest","Both equally","Extremely effective","Increases confidence in purchasing decisions",1,0,0,0,"It will not have a significant impact",0,1,1,1,2023-12-20 03:55:39.862326
"id_23","Female","Real Estate Agent","Yes, but rarely","AR – Interactive overlays on real-world properties","Not effective at all","Increases confidence in purchasing decisions",0,0,0,1,"It will grow but remain a niche tool",0,1,1,0,2023-10-30 22:57:50.974291
"id_24","Prefer not to say","Buyer/Renter","No, but I am interested","VR – Full 3D property tours","Somewhat effective","Saves time for buyers and sellers",0,0,1,0,"It will become an essential tool for property buying/selling",1,1,0,0,2023-01-03 16:54:04.961559
"id_25","Female","Investor","No, I have no interest","AR – Interactive overlays on real-world properties","Somewhat effective","More immersive than photos/videos",1,0,0,1,"It will grow but remain a niche tool",0,1,1,0,2023-01-24 20:11:33.869836
"id_26","Female","Student","No, but I am interested","Both equally","Somewhat effective","Expands market reach (remote buyers)",1,0,0,1,"It will become an essential tool for property buying/selling",1,0,0,1,2023-07-01 16:40:32.09107
"id_27","Female","Property Developer","Yes, but rarely","Both equally","Extremely effective","More immersive than photos/videos",1,0,0,1,"It will become an essential tool for property buying/selling",0,0,0,0,2023-05-31 03:11:20.636643
"id_28","Female","Buyer/Renter","Yes, but rarely","VR – Full 3D property tours","Extremely effective","Saves time for buyers and sellers",1,1,0,0,"It will grow but remain a niche tool",1,0,1,1,2023-11-04 21:02:07.58065
"id_29","Male","Other","No, but I am interested","VR – Full 3D property tours","Extremely effective","More immersive than photos/videos",0,1,1,0,"It will grow but remain a niche tool",0,1,0,0,2023-02-02 12:13:05.373682
"id_30","Male","Real Estate Agent","Yes, but rarely","Both equally","Extremely effective","Expands market reach (remote buyers)",1,1,0,1,"It will grow but remain a niche tool",1,1,1,0,2023-09-13 08:57:08.116283
"id_31","Prefer not to say","Property Developer","No, but I am interested","AR – Interactive overlays on real-world properties","Extremely effective","Expands market reach (remote buyers)",1,0,0,0,"It will become an essential tool for property buying/selling",1,0,0,1,2023-01-14 06:30:48.204933
"id_32","Non-binary","Student","Yes, but rarely","AR – Interactive overlays on real-world properties","Extremely effective","More immersive than photos/videos",0,1,1,0,"It will grow but remain a niche tool",0,1,0,0,2023-07-25 23:46:00.691631
"id_33","Female","Real Estate Agent","Yes, but rarely","AR – Interactive overlays on real-world properties","Extremely effective","Increases confidence in purchasing decisions",0,0,1,0,"It will grow but remain a niche tool",1,0,1,1,2023-05-01 03:49:16.626655
"id_34","Female","Property Developer","No, but I am interested","VR – Full 3D property tours","Somewhat effective","More immersive than photos/videos",0,1,0,0,"It will become an essential tool for property buying/selling",1,0,1,0,2023-10-27 18:15:09.787639
"id_35","Male","Buyer/Renter","Yes, but rarely","VR – Full 3D property tours","Somewhat effective","Expands market reach (remote buyers)",1,1,1,1,"It will become an essential tool for property buying/selling",1,0,0,1,2023-09-28 13:05:21.871319
"id_36","Female","Student","Yes, but rarely","Both equally","Extremely effective","Saves time for buyers and sellers",0,0,0,1,"It will grow but remain a niche tool",1,0,1,1,2023-09-10 02:17:23.599915
"id_37","Female","Real Estate Agent","No, but I am interested","VR – Full 3D property tours","Extremely effective","More immersive than photos/videos",0,1,1,1,"It will grow but remain a niche tool",1,0,0,0,2023-08-16 17:53:39.594776
"id_38","Male","Property Developer","Yes, but rarely","Both equally","Not very effective","Increases confidence in purchasing decisions",0,0,0,1,"It will become an essential tool for property buying/selling",0,1,1,1,2023-07-24 15:16:45.387848
"id_39","Male","Investor","Yes, but rarely","Neither","Not very effective","Expands market reach (remote buyers)",0,0,0,0,"It will grow but remain a niche tool",1,1,0,0,2023-04-06 00:04:37.939073
"id_40","Male","Buyer/Renter","Yes, but rarely","VR – Full 3D property tours","Extremely effective","Expands market reach (remote buyers)",1,0,0,0,"It will grow but remain a niche tool",1,0,0,1,2023-01-14 04:42:29.184465
"id_41","Male","Property Developer","No, I have no interest","Both equally","Extremely effective","Increases confidence in purchasing decisions",0,0,0,1,"It will grow but remain a niche tool",0,0,0,0,2023-06-30 04:56:07.554248
"id_42","Male","Buyer/Renter","No, I have no interest","AR – Interactive overlays on real-world properties","Somewhat effective","Saves time for buyers and sellers",0,1,0,1,"It will become an essential tool for property buying/selling",0,0,1,0,2023-11-01 08:30:14.26133
"id_43","Male","Property Developer","Yes, but rarely","Both equally","Extremely effective","Increases confidence in purchasing decisions",0,0,0,1,"It will not have a significant impact",0,1,0,0,2023-06-18 03:38:44.404591
"id_44","Male","Buyer/Renter","Yes, but rarely","VR – Full 3D property tours","Neutral","Increases confidence in purchasing decisions",0,0,1,1,"It will not have a significant impact",0,1,1,0,2023-09-16 04:40:13.487616
"id_45","Male","Student","No, but I am interested","AR – Interactive overlays on real-world properties","Not very effective","Increases confidence in purchasing decisions",0,1,0,0,"It will become an essential tool for property buying/selling",0,0,0,0,2023-06-29 01:47:44.173595
"id_46","Male","Other","No, but I am interested","Both equally","Not very effective","Expands market reach (remote buyers)",1,1,1,0,"It will grow but remain a niche tool",0,1,0,0,2023-06-15 20:46:35.882179
"id_47","Male","Buyer/Renter","No, but I am interested","Both equally","Neutral","More immersive than photos/videos",0,1,0,1,"It will grow but remain a niche tool",1,0,0,1,2023-04-30 15:23:40.940527
"id_48","Female","Property Developer","No, but I am interested","VR – Full 3D property tours","Somewhat effective","Expands market reach (remote buyers)",0,1,1,1,"It will become an essential tool for property buying/selling",0,1,0,0,2023-01-14 16:32:06.910731
"id_49","Male","Property Developer","Yes, frequently","VR – Full 3D property tours","Somewhat effective","More immersive than photos/videos",0,0,1,0,"It will become an essential tool for property buying/selling",0,1,0,0,2023-08-22 22:33:36.754932
"id_50","Female","Real Estate Agent","Yes, frequently","Neither","Extremely effective","Saves time for buyers and sellers",1,1,0,1,"It will grow but remain a niche tool",0,1,1,1,2023-08-05 05:58:06.61163
"id_51","Male","Real Estate Agent","No, I have no interest","Neither","Extremely effective","More immersive than photos/videos",0,1,1,1,"It will become an essential tool for property buying/selling",1,1,0,0,2023-02-20 21:45:33.579981
"id_52","Male","Buyer/Renter","No, I have no interest","Both equally","Somewhat effective","Saves time for buyers and sellers",0,0,0,0,"It will become an essential tool for property buying/selling",1,0,1,0,2023-05-08 12:41:45.682678
"id_53","Female","Investor","Yes, frequently","VR – Full 3D property tours","Not very effective","More immersive than photos/videos",1,1,1,1,"It will grow but remain a niche tool",1,1,1,0,2023-08-25 04:38:36.216033
"id_54","Male","Property Developer","Yes, but rarely","VR – Full 3D property tours","Somewhat effective","More immersive than photos/videos",0,1,1,1,"It will not have a significant impact",0,1,1,0,2023-08-24 22:46:46.158604
"id_55","Female","Investor","Yes, but rarely","VR – Full 3D property tours","Not very effective","Increases confidence in purchasing decisions",0,0,1,1,"It will become an essential tool for property buying/selling",1,1,0,0,2023-05-15 00:14:43.307315
"id_56","Male","Investor","No, but I am interested","Both equally","Somewhat effective","More immersive than photos/videos",1,1,0,1,"It will become an essential tool for property buying/selling",0,1,1,0,2023-05-08 12:58:15.164304
"id_57","Male","Student","No, I have no interest","AR – Interactive overlays on real-world properties","Extremely effective","More immersive than photos/videos",0,0,0,0,"It will grow but remain a niche tool",0,0,0,0,2023-05-15 12:49:12.686468
"id_58","Female","Investor","No, but I am interested","Both equally","Neutral","Saves time for buyers and sellers",1,0,1,0,"It will grow but remain a niche tool",1,1,0,0,2023-12-02 16:55:23.187242
"id_59","Female","Investor","No, but I am interested","VR – Full 3D property tours","Neutral","More immersive than photos/videos",1,0,1,1,"It will become an essential tool for property buying/selling",0,0,0,1,2023-10-05 08:14:31.563781
"id_60","Male","Buyer/Renter","No, I have no interest","Neither","Extremely effective","Saves time for buyers and sellers",1,0,0,1,"It will grow but remain a niche tool",0,0,0,0,2023-02-22 15:19:49.151546
"id_61","Female","Buyer/Renter","No, I have no interest","AR – Interactive overlays on real-world properties","Somewhat effective","More immersive than photos/videos",1,1,1,1,"It will become an essential tool for property buying/selling",0,1,0,1,2023-05-03 02:03:26.475434
"id_62","Male","Property Developer","No, but I am interested","Both equally","Neutral","Expands market reach (remote buyers)",0,0,1,1,"It will grow but remain a niche tool",1,0,0,0,2023-03-31 04:42:34.965833
"id_63","Male","Student","No, but I am interested","AR – Interactive overlays on real-world properties","Extremely effective","More immersive than photos/videos",0,0,1,1,"It will become an essential tool for property buying/selling",1,1,0,0,2023-03-01 05:05:59.828734
"id_64","Male","Buyer/Renter","No, but I am interested","Both equally","Neutral","More immersive than photos/videos",0,1,1,1,"It will become an essential tool for property buying/selling",0,0,0,0,2023-12-22 02:52:25.622327
"id_65","Female","Student","No, but I am interested","VR – Full 3D property tours","Somewhat effective","More immersive than photos/videos",0,1,0,1,"It will become an essential tool for property buying/selling",1,1,0,1,2023-02-11 18:51:04.734757
"id_66","Male","Student","No, I have no interest","Both equally","Somewhat effective","Increases confidence in purchasing decisions",1,1,0,0,"It will grow but remain a niche tool",0,1,0,0,2023-01-26 18:53:06.444616
"id_67","Female","Real Estate Agent","Yes, but rarely","Both equally","Somewhat effective","Saves time for buyers and sellers",0,0,0,1,"It will become an essential tool for property buying/selling",0,1,0,0,2023-10-01 02:46:51.998916
"id_68","Female","Property Developer","No, but I am interested","AR – Interactive overlays on real-world properties","Somewhat effective","More immersive than photos/videos",1,1,1,0,"It will become an essential tool for property buying/selling",0,1,1,1,2023-02-19 01:24:31.666206
"id_69","Female","Investor","Yes, frequently","Both equally","Neutral","Saves time for buyers and sellers",0,0,1,0,"It will grow but remain a niche tool",0,0,0,1,2023-01-04 13:59:34.188124
"id_70","Male","Property Developer","Yes, but rarely","AR – Interactive overlays on real-world properties","Not very effective","Increases confidence in purchasing decisions",0,1,1,0,"It will grow but remain a niche tool",1,1,1,0,2023-11-09 12:48:05.598919
"id_71","Female","Investor","No, I have no interest","Both equally","Somewhat effective","More immersive than photos/videos",1,1,0,1,"It will grow but remain a niche tool",1,0,1,0,2023-05-04 12:07:18.515194
"id_72","Female","Property Developer","No, I have no interest","Both equally","Not very effective","More immersive than photos/videos",1,1,0,0,"It will grow but remain a niche tool",1,1,1,0,2023-06-29 02:37:32.054196
"id_73","Female","Investor","Yes, frequently","AR – Interactive overlays on real-world properties","Extremely effective","More immersive than photos/videos",0,1,1,0,"It will grow but remain a niche tool",1,1,1,0,2023-07-28 18:40:43.818488
"id_74","Male","Real Estate Agent","No, I have no interest","VR – Full 3D property tours","Extremely effective","More immersive than photos/videos",0,1,1,1,"It will grow but remain a niche tool",0,0,1,1,2023-02-11 02:53:02.78363
"id_75","Female","Property Developer","Yes, but rarely","Both equally","Extremely effective","Saves time for buyers and sellers",0,1,0,0,"It will become an essential tool for property buying/selling",0,1,1,1,2023-01-31 20:50:58.027319
"id_76","Male","Student","Yes, but rarely","AR – Interactive overlays on real-world properties","Neutral","Saves time for buyers and sellers",1,1,0,0,"It will become an essential tool for property buying/selling",1,1,0,0,2023-11-13 11:47:00.388604
"id_77","Male","Real Estate Agent","No, but I am interested","Both equally","Extremely effective","Saves time for buyers and sellers",0,0,0,0,"It will grow but remain a niche tool",1,0,1,0,2023-07-03 12:20:00.035349
"id_78","Female","Buyer/Renter","No, but I am interested","VR – Full 3D property tours","Somewhat effective","Saves time for buyers and sellers",0,0,0,0,"It will grow but remain a niche tool",1,1,1,1,2023-06-29 21:42:37.807899
"id_79","Male","Investor","Yes, but rarely","Both equally","Not very effective","More immersive than photos/videos",1,0,1,0,"It will grow but remain a niche tool",0,1,0,0,2023-10-01 06:09:10.110123
"id_80","Male","Real Estate Agent","No, but I am interested","VR – Full 3D property tours","Somewhat effective","Increases confidence in purchasing decisions",0,0,0,1,"It will become an essential tool for property buying/selling",1,1,1,0,2023-03-05 03:23:17.69722
"id_81","Male","Property Developer","No, but I am interested","AR – Interactive overlays on real-world properties","Somewhat effective","Increases confidence in purchasing decisions",1,1,0,1,"It will become an essential tool for property buying/selling",1,0,0,0,2023-01-13 10:13:20.612314
"id_82","Female","Property Developer","No, but I am interested","Both equally","Extremely effective","Saves time for buyers and sellers",0,0,1,1,"It will grow but remain a niche tool",0,0,0,0,2023-08-02 17:39:41.911873
"id_83","Male","Property Developer","No, but I am interested","Both equally","Extremely effective","Expands market reach (remote buyers)",0,0,0,1,"It will grow but remain a niche tool",0,0,0,1,2023-03-10 10:20:27.70327
"id_84","Female","Real Estate Agent","Yes, but rarely","Both equally","Somewhat effective","Saves time for buyers and sellers",0,1,0,0,"It will become an essential tool for property buying/selling",1,0,1,1,2023-03-12 06:07:43.852397
"id_85","Male","Property Developer","No, I have no interest","AR – Interactive overlays on real-world properties","Extremely effective","More immersive than photos/videos",0,1,1,0,"It will become an essential tool for property buying/selling",0,0,0,0,2023-12-17 18:15:01.43108
"id_86","Male","Buyer/Renter","No, but I am interested","VR – Full 3D property tours","Extremely effective","More immersive than photos/videos",0,0,0,0,"It will become an essential tool for property buying/selling",0,0,0,0,2023-03-01 05:23:26.112303
"id_87","Prefer not to say","Buyer/Renter","No, but I am interested","VR – Full 3D property tours","Somewhat effective","Expands market reach (remote buyers)",1,0,1,1,"It will become an essential tool for property buying/selling",0,0,1,0,2023-04-04 13:40:04.60504
"id_88","Female","Student","No, but I am interested","VR – Full 3D property tours","Not effective at all","Increases confidence in purchasing decisions",0,1,0,1,"It will become an essential tool for property buying/selling",0,1,0,0,2023-08-03 08:26:19.37672
"id_89","Female","Other","No, I have no interest","VR – Full 3D property tours","Extremely effective","More immersive than photos/videos",0,0,0,0,"It will become an essential tool for property buying/selling",1,0,1,0,2023-03-02 22:54:23.222167
"id_90","Male","Investor","Yes, but rarely","Both equally","Somewhat effective","More immersive than photos/videos",0,0,0,0,"It will become an essential tool for property buying/selling",1,0,1,0,2023-08-24 03:24:29.459912
"id_91","Male","Investor","No, I have no interest","AR – Interactive overlays on real-world properties","Somewhat effective","More immersive than photos/videos",1,0,1,1,"It will become an essential tool for property buying/selling",0,1,1,1,2023-03-13 08:47:22.960724
"id_92","Female","Buyer/Renter","No, but I am interested","AR – Interactive overlays on real-world properties","Somewhat effective","Increases confidence in purchasing decisions",1,1,1,1,"It will become an essential tool for property buying/selling",0,0,0,0,2023-07-14 04:46:40.483098
"id_93","Male","Other","No, but I am interested","AR – Interactive overlays on real-world properties","Somewhat effective","Increases confidence in purchasing decisions",0,0,1,0,"It will not have a significant impact",0,1,0,1,2023-05-02 04:34:02.735472
"id_94","Female","Buyer/Renter","No, but I am interested","VR – Full 3D property tours","Somewhat effective","Saves time for buyers and sellers",0,0,1,0,"It will grow but remain a niche tool",0,0,0,0,2023-07-30 11:23:41.027246
"id_95","Male","Buyer/Renter","No, I have no interest","Both equally","Somewhat effective","Saves time for buyers and sellers",1,0,1,1,"It will grow but remain a niche tool",0,0,0,1,2023-07-29 10:00:59.925711
"id_96","Male","Property Developer","No, I have no interest","Both equally","Extremely effective","Increases confidence in purchasing decisions",0,1,0,1,"It will become an essential tool for property buying/selling",0,1,1,0,2023-04-12 07:03:41.607304
"id_97","Female","Investor","Yes, frequently","VR – Full 3D property tours","Not very effective","More immersive than photos/videos",0,1,1,1,"It will grow but remain a niche tool",0,1,1,1,2023-03-29 21:34:59.387683
"id_98","Male","Real Estate Agent","Yes, but rarely","Both equally","Extremely effective","Increases confidence in purchasing decisions",0,1,0,1,"It will grow but remain a niche tool",0,1,0,1,2023-11-26 20:02:56.52422
"id_99","Female","Property Developer","No, but I am interested","AR – Interactive overlays on real-world properties","Extremely effective","Increases confidence in purchasing decisions",0,0,1,1,"It will become an essential tool for property buying/selling",0,1,0,0,2023-07-31 16:12:15.817167
"id_100","Female","Buyer/Renter","No, but I am interested","Both equally","Somewhat effective","Saves time for buyers and sellers",0,0,0,1,"It will become an essential tool for property buying/selling",0,1,0,0,2023-06-27 02:08:37.525224
"id_101","Female","Buyer/Renter","No, I have no interest","VR – Full 3D property tours","Extremely effective","Saves time for buyers and sellers",0,0,1,1,"It will grow but remain a niche tool",1,1,0,1,2023-10-04 21:44:09.590487
"id_102","Male","Student","No, I have no interest","Both equally","Somewhat effective","Increases confidence in purchasing decisions",1,1,1,0,"It will grow but remain a niche tool",0,1,1,0,2023-01-17 01:05:07.138308
"id_103","Female","Buyer/Renter","No, but I am interested","Both equally","Extremely effective","More immersive than photos/videos",0,0,1,1,"It will grow but remain a niche tool",0,0,1,1,2023-08-19 13:06:17.729246
"id_104","Prefer not to say","Real Estate Agent","No, I have no interest","AR – Interactive overlays on real-world properties","Not very effective","Expands market reach (remote buyers)",1,0,0,1,"It will become an essential tool for property buying/selling",0,1,0,1,2023-08-16 23:03:24.396118
"id_105","Female","Buyer/Renter","Yes, frequently","AR – Interactive overlays on real-world properties","Extremely effective","Saves time for buyers and sellers",0,0,0,1,"It will grow but remain a niche tool",0,0,1,0,2023-10-10 06:17:03.72241
"id_106","Female","Property Developer","Yes, but rarely","Both equally","Extremely effective","Saves time for buyers and sellers",0,1,1,1,"It will become an essential tool for property buying/selling",1,0,1,0,2023-05-26 15:02:13.200379
"id_107","Non-binary","Buyer/Renter","Yes, but rarely","AR – Interactive overlays on real-world properties","Somewhat effective","Increases confidence in purchasing decisions",1,1,0,0,"It will become an essential tool for property buying/selling",1,1,0,0,2023-03-19 05:36:53.725691
"id_108","Female","Property Developer","Yes, frequently","Both equally","Somewhat effective","Saves time for buyers and sellers",0,0,0,0,"It will grow but remain a niche tool",1,0,1,0,2023-08-23 15:08:43.997077
"id_109","Male","Real Estate Agent","Yes, frequently","VR – Full 3D property tours","Neutral","Increases confidence in purchasing decisions",1,1,1,1,"It will grow but remain a niche tool",1,0,0,0,2023-06-14 16:07:33.245545
"id_110","Male","Real Estate Agent","No, I have no interest","VR – Full 3D property tours","Neutral","More immersive than photos/videos",0,0,0,1,"It will grow but remain a niche tool",1,0,1,0,2023-07-24 00:01:49.0926
"id_111","Non-binary","Investor","No, but I am interested","VR – Full 3D property tours","Extremely effective","Increases confidence in purchasing decisions",0,1,0,0,"It will become an essential tool for property buying/selling",0,1,0,0,2023-09-30 13:30:18.663306
"id_112","Male","Buyer/Renter","No, I have no interest","AR – Interactive overlays on real-world properties","Somewhat effective","More immersive than photos/videos",0,1,1,1,"It will become an essential tool for property buying/selling",1,0,0,0,2023-02-20 08:22:43.380806
"id_113","Male","Buyer/Renter","Yes, but rarely","VR – Full 3D property tours","Somewhat effective","Saves time for buyers and sellers",0,1,1,0,"It will not have a significant impact",0,0,1,0,2023-07-10 11:57:59.174112
"id_114","Non-binary","Other","No, but I am interested","Neither","Extremely effective","More immersive than photos/videos",0,0,0,0,"It will become an essential tool for property buying/selling",0,0,1,0,2023-02-16 02:02:40.354113
"id_115","Female","Investor","No, but I am interested","Neither","Extremely effective","More immersive than photos/videos",0,0,0,0,"It will become an essential tool for property buying/selling",1,0,1,0,2023-08-02 05:44:45.137257
"id_116","Male","Student","No, but I am interested","VR – Full 3D property tours","Somewhat effective","Increases confidence in purchasing decisions",1,0,1,0,"It will become an essential tool for property buying/selling",1,1,0,0,2023-03-17 18:43:41.897915
"id_117","Female","Property Developer","Yes, but rarely","VR – Full 3D property tours","Neutral","Saves time for buyers and sellers",0,0,0,1,"It will grow but remain a niche tool",0,1,1,0,2023-07-09 21:40:04.1019
"id_118","Prefer not to say","Student","Yes, frequently","Both equally","Somewhat effective","More immersive than photos/videos",1,0,0,1,"It will grow but remain a niche tool",1,1,1,0,2023-11-09 15:32:10.838305
"id_119","Female","Other","No, but I am interested","VR – Full 3D property tours","Extremely effective","More immersive than photos/videos",1,0,0,1,"It will grow but remain a niche tool",0,1,1,0,2023-07-28 23:41:55.537334
"id_120","Male","Buyer/Renter","Yes, but rarely","Both equally","Neutral","Expands market reach (remote buyers)",0,1,0,0,"It will become an essential tool for property buying/selling",1,1,1,0,2023-09-04 20:15:42.991009
"id_121","Female","Property Developer","No, but I am interested","Both equally","Not very effective","Expands market reach (remote buyers)",0,1,0,1,"It will become an essential tool for property buying/selling",0,1,0,0,2023-06-28 21:46:59.67294
"id_122","Male","Property Developer","No, but I am interested","Both equally","Extremely effective","Saves time for buyers and sellers",0,1,0,1,"It will grow but remain a niche tool",0,0,1,0,2023-12-16 01:50:34.09969
"id_123","Male","Student","No, I have no interest","Both equally","Somewhat effective","More immersive than photos/videos",1,0,1,0,"It will grow but remain a niche tool",0,1,0,0,2023-02-19 13:35:50.190746
"id_124","Male","Real Estate Agent","No, but I am interested","AR – Interactive overlays on real-world properties","Somewhat effective","Increases confidence in purchasing decisions",1,0,1,0,"It will become an essential tool for property buying/selling",0,1,0,0,2023-06-01 12:19:26.758528
"id_125","Male","Buyer/Renter","No, but I am interested","VR – Full 3D property tours","Neutral","Increases confidence in purchasing decisions",0,1,0,0,"It will grow but remain a niche tool",1,1,0,1,2023-07-27 17:01:36.421991
"id_126","Prefer not to say","Real Estate Agent","No, but I am interested","AR – Interactive overlays on real-world properties","Somewhat effective","More immersive than photos/videos",1,1,0,1,"It will become an essential tool for property buying/selling",1,0,0,0,2023-08-18 15:40:25.630858
"id_127","Male","Buyer/Renter","Yes, frequently","VR – Full 3D property tours","Neutral","Saves time for buyers and sellers",1,0,0,1,"It will grow but remain a niche tool",0,1,1,0,2023-04-29 09:56:34.371729
"id_128","Male","Property Developer","Yes, but rarely","Both equally","Extremely effective","Saves time for buyers and sellers",0,0,0,0,"It will not have a significant impact",0,1,0,1,2023-11-04 17:46:46.761072
"id_129","Male","Real Estate Agent","No, but I am interested","VR – Full 3D property tours","Extremely effective","More immersive than photos/videos",0,0,0,1,"It will grow but remain a niche tool",1,0,0,0,2023-12-04 10:20:01.678672
"id_130","Female","Real Estate Agent","Yes, but rarely","AR – Interactive overlays on real-world properties","Not very effective","Saves time for buyers and sellers",1,0,1,0,"It will grow but remain a niche tool",0,1,0,0,2023-11-25 09:53:53.99752
"id_131","Female","Student","Yes, but rarely","AR – Interactive overlays on real-world properties","Somewhat effective","Increases confidence in purchasing decisions",0,0,1,1,"It will grow but remain a niche tool",0,1,1,1,2023-04-19 20:12:53.469153
"id_132","Female","Property Developer","No, I have no interest","VR – Full 3D property tours","Somewhat effective","Increases confidence in purchasing decisions",0,0,1,1,"It will become an essential tool for property buying/selling",1,1,0,0,2023-07-17 19:29:42.384112
"id_133","Female","Real Estate Agent","No, I have no interest","VR – Full 3D property tours","Somewhat effective","Saves time for buyers and sellers",1,0,1,0,"It will grow but remain a niche tool",0,0,0,0,2023-07-24 13:41:02.532236
"id_134","Female","Student","Yes, but rarely","AR – Interactive overlays on real-world properties","Somewhat effective","More immersive than photos/videos",0,1,0,1,"It will become an essential tool for property buying/selling",0,1,0,1,2023-10-29 17:29:16.331642
"id_135","Female","Buyer/Renter","No, I have no interest","AR – Interactive overlays on real-world properties","Extremely effective","Saves time for buyers and sellers",0,1,0,0,"It will grow but remain a niche tool",0,0,0,1,2023-01-09 20:16:48.65152
"id_136","Female","Buyer/Renter","No, I have no interest","AR – Interactive overlays on real-world properties","Extremely effective","Saves time for buyers and sellers",0,0,1,0,"It will grow but remain a niche tool",0,0,1,1,2023-07-29 05:06:22.119823
